node_1,node_2,average_sentiment,relation_type,num_mentions,total_weight
Bernie Sanders,Ford,0.967,Positive,2,-4
Cathie Wood,Joe Biden,0.931,Positive,1,31446
Cathie Wood,Pete Buttigieg,0.931,Positive,1,31446
Joe Biden,Pete Buttigieg,0.931,Positive,1,31446
Bernie Sanders,Donald Trump,0.93,Positive,4,786
Elon Musk,Alexandria Ocasio-Cortez,0.879,Positive,1,-6
Elon Musk,Ford,0.765,Positive,3,2
Bernie Sanders,Jeff Bezos,0.71,Positive,1,5
Donald Trump,Ford,0.679,Positive,2,7
Elon Musk,Cathie Wood,0.598,Positive,2,-1
Donald Trump,Joe Biden,0.519,Positive,4,31457
Joe Biden,GM,-0.477,Negative,1,5
Donald Trump,Cathie Wood,0.444,Positive,3,31582
Elon Musk,Jeff Bezos,0.41,Positive,9,450
Elon Musk,Meta,-0.361,Negative,1,2792
Elon Musk,Joe Biden,0.342,Positive,5,72
Donald Trump,NIO,0.282,Positive,4,695
Elon Musk,Donald Trump,0.195,Positive,45,4078
Elon Musk,Gavin Newsom,-0.192,Negative,3,309
Elon Musk,NIO,0.159,Positive,2,129
Donald Trump,Pete Buttigieg,0.086,Neutral,5,89448
Bernie Sanders,Elon Musk,0.014,Neutral,14,11090
