node_1,node_2,average_sentiment,relation_type,num_mentions,total_weight
Donald Trump,Mark Zuckerberg,0.995,Positive,1,1826
Donald Trump,Ford,0.995,Positive,1,1826
Joe Biden,Mark Zuckerberg,0.995,Positive,1,1826
Joe Biden,Ford,0.995,Positive,1,1826
Ford,Mark Zuckerberg,0.995,Positive,1,1826
Cathie Wood,Bernie Sanders,-0.936,Negative,1,8
Donald Trump,Bernie Sanders,-0.765,Negative,1,11
Cathie Wood,Mark Zuckerberg,0.529,Positive,3,44
Elon Musk,Mark Zuckerberg,0.529,Positive,3,44
Cathie Wood,Donald Trump,0.512,Positive,3,3767
NIO,Pete Buttigieg,0.509,Positive,1,2037
Donald Trump,Pete Buttigieg,0.384,Positive,3,72588
Joe Biden,Bernie Sanders,-0.383,Negative,2,555
Pete Buttigieg,Bernie Sanders,0.365,Positive,3,50088
Cathie Wood,Elon Musk,0.345,Positive,9,3308
Elon Musk,Joe Biden,0.326,Positive,4,364
Elon Musk,Jeff Bezos,0.277,Positive,26,3329
Elon Musk,Donald Trump,0.231,Positive,4,-8
Joe Biden,Pete Buttigieg,0.22,Positive,5,83428
Elon Musk,Jim Cramer,-0.178,Negative,1,1
Jeff Bezos,Joe Biden,-0.137,Negative,2,304
NIO,Bernie Sanders,-0.137,Negative,2,2040
Donald Trump,Joe Biden,0.102,Positive,3,2538
Elon Musk,Bernie Sanders,0.079,Neutral,9,1033
Elon Musk,NIO,-0.052,Neutral,2,16
Elon Musk,Chamath Palihapitiya,0.0,Neutral,1,31
Elon Musk,Michael Burry,0.0,Neutral,1,22
GM,Ford,0.0,Neutral,1,3
