node_1,node_2,average_sentiment,relation_type,num_mentions,total_weight
Joe Biden,Bernie Sanders,0.912,Positive,1,2270
Joe Biden,Donald Trump,0.912,Positive,1,2270
Donald Trump,Bernie Sanders,0.912,Positive,1,2270
NIO,Mark Zuckerberg,0.853,Positive,1,1
NIO,Cathie Wood,0.853,Positive,1,1
Elon Musk,GM,0.784,Positive,1,5
Cathie Wood,Pete Buttigieg,0.421,Positive,1,1402
Jim Cramer,Ford,0.361,Positive,1,2
Elon Musk,Larry Page,0.288,Positive,3,148
Elon Musk,Chamath Palihapitiya,0.272,Positive,1,273
Elon Musk,Jim Cramer,-0.158,Negative,3,12
Elon Musk,Jeff Bezos,0.117,Positive,18,765
Elon Musk,Cathie Wood,-0.096,Neutral,10,431
Elon Musk,Mark Zuckerberg,-0.076,Neutral,10,434
Elon Musk,Donald Trump,0.069,Neutral,16,361
Elon Musk,NIO,0.059,Neutral,3,77
Cathie Wood,Jim Cramer,-0.057,Neutral,2,20
Cathie Wood,Mark Zuckerberg,-0.048,Neutral,9,407
Joe Biden,Elon Musk,0.02,Neutral,2,2921
Elon Musk,Apple,0.0,Neutral,1,101
Jeff Bezos,Cathie Wood,0.0,Neutral,2,12
Jeff Bezos,Mark Zuckerberg,0.0,Neutral,2,12
Apple,Donald Trump,0.0,Neutral,1,101
