Word,Count,Average Sentiment
elon_musk,270,0.2017
jeff_bezos,91,0.1931
would,82,0.2771
get,79,0.2095
like,78,0.3902
people,74,-0.0057
make,72,0.2502
say,63,0.0985
elon_musk_elon_musk,61,0.0524
see,48,0.0119
one,47,0.2027
think,47,0.4551
space,47,0.3013
time,47,0.1966
know,45,0.316
work,45,0.3324
tax,44,0.211
thing,43,0.3677
bernie_sanders,43,0.0566
want,42,0.2725
need,41,0.1293
good,38,0.4959
tesla,36,0.4052
even,36,0.3672
year,36,0.3376
abortion,36,-0.1112
could,35,0.2954
life,34,0.0734
pay,33,0.3242
take,31,0.2698
much,31,0.3981
donald_trump,30,0.2166
joe_biden,30,0.0846
money,29,0.2407
give,29,0.3771
well,29,0.3616
please,28,-0.2839
guy,28,0.4067
look,28,0.1926
pete,28,0.0201
still,27,0.2727
first,26,0.235
really,26,0.3751
post,26,-0.238
bad,26,0.1048
back,26,0.2985
jeff_bezos_jeff_bezos,26,0.1311
company,25,0.1466
vote,25,0.1584
support,25,0.2355
