Topic Index,Terms
0,"-0.804*""elon_musk"" + -0.200*""donald_trump"" + -0.180*""elon_musk_elon_musk"" + -0.150*""twitter"" + -0.128*""like"" + -0.117*""would"" + -0.112*""people"" + -0.110*""vote"""
1,"0.286*""like"" + -0.243*""elon_musk"" + 0.210*""left"" + 0.146*""years"" + 0.142*""past"" + 0.138*""constantly"" + 0.123*""back"" + 0.106*""made"""
2,"-0.307*""people"" + -0.284*""right"" + 0.216*""elon_musk"" + -0.195*""stock"" + -0.188*""like"" + -0.155*""think"" + -0.153*""buy"" + -0.132*""say"""
3,"0.361*""jeff_bezos"" + -0.318*""donald_trump"" + 0.218*""contract"" + 0.212*""board"" + 0.211*""lawsuit"" + -0.177*""vote"" + 0.173*""company"" + 0.168*""stock"""
4,"0.317*""right"" + -0.283*""stock"" + 0.216*""left"" + -0.213*""buy"" + -0.187*""back"" + -0.161*""pressure"" + -0.142*""vote"" + 0.127*""people"""
