Word,Average Sentiment,Count
corruption,-0.9626,6
theft,-0.9626,6
contractor,-0.9626,4
veteran,-0.9626,6
developer,-0.9626,4
scheduling,-0.9626,4
lay,-0.9626,4
destroy,-0.8788,4
fail,-0.8224,6
fail_audit,-0.8224,4
