Word,Average Sentiment,Count
truly,0.7344,4
acknowledge,0.7386,4
rocket,0.7506,5
launch,0.7506,4
free_speech,0.7549,9
base,0.7763,4
strong,0.7953,4
fact,0.8561,6
party,0.8566,5
like_truth,0.9111,4
