Word,Average Sentiment,Count
hamas,-0.8181,4
hell,-0.7718,4
constantly,-0.7341,5
starting,-0.7244,4
pressure,-0.6846,5
destroyed,-0.6753,4
gives,-0.6672,4
criticizing,-0.6538,6
ass,-0.6434,6
whole_life,-0.6329,4
