Word,Average Sentiment,Count
court,0.9691,5
stake,0.9698,6
justices,0.9798,4
heart,0.9912,5
loan,0.9921,11
interest,0.9921,7
collateral,0.9921,5
bible,0.9943,4
decline,0.9943,4
christians,0.9943,5
