Word,TF-IDF Score
elon_musk,0.03408
donald_trump,0.01337
twitter,0.01317
like,0.01247
get,0.01229
elon_musk elon_musk,0.01165
people,0.0114
would,0.01056
joe_biden,0.00964
right,0.00938
say,0.00886
make,0.00868
jeff_bezos,0.00827
think,0.00825
one,0.0082
want,0.00755
back,0.00741
fuck,0.00738
see,0.00735
even,0.00714
happen,0.00647
time,0.00634
well,0.00622
guy,0.00607
really,0.00598
tesla,0.00596
thing,0.0058
mark_zuckerberg,0.0057
love,0.00565
money,0.00555
vote,0.00535
interesting,0.00524
know,0.00509
life,0.00498
fight,0.00475
call,0.00474
take,0.0047
lol,0.00468
use,0.00465
man,0.00463
buy,0.00463
never,0.00457
look,0.00449
mark,0.00441
shit,0.00439
mean,0.00434
work,0.00431
live,0.00423
actually,0.00419
hate,0.00417
