Word,Average Sentiment,Count
particle,-0.9458,10
nuclear_force,-0.9458,4
field_particle,-0.9458,4
nuclear,-0.9458,4
higgs,-0.9458,6
weak,-0.8134,6
shit,-0.4326,6
fake,-0.4242,5
hell,-0.4174,4
industry,-0.4106,4
