Word,TF-IDF Score
elon_musk,0.04031
jeff_bezos,0.02734
elon_musk elon_musk,0.01355
would,0.01115
like,0.01041
make,0.00942
get,0.00939
people,0.00881
say,0.00842
bernie_sanders,0.00795
know,0.00756
work,0.00722
space,0.00688
one,0.00678
time,0.00658
fuck,0.00648
see,0.00646
think,0.00642
rocket,0.0064
jeff_bezos jeff_bezos,0.00633
need,0.00623
love,0.00595
president,0.00589
look,0.00578
tesla,0.00571
good,0.0057
want,0.00541
day,0.00534
guy,0.00533
thing,0.00503
joe_biden,0.00501
surgery,0.00497
give,0.00496
tax,0.00487
back,0.00482
much,0.0048
even,0.0048
bad,0.00468
could,0.00468
really,0.00462
still,0.0046
rich,0.00459
person,0.00448
rocket surgery,0.00439
pete,0.00437
company,0.00434
first,0.00432
donald_trump,0.00431
please,0.0043
big,0.00422
