name,token,mention_count,average_sentiment,sentiment_std_dev
Jeff Bezos,jeff_bezos,11,0.37255000000000005,0.43760033992217146
Joe Biden,joe_biden,14,0.22964,0.4621622749641083
Donald Trump,donald_trump,107,0.20684657534246575,0.49941789464100533
Bernie Sanders,bernie_sanders,31,0.17815217391304347,0.5995453516397566
Elon Musk,elon_musk,200,0.11495555555555555,0.5320366176301266
Pete Buttigieg,pete_buttigieg,10,-0.08882857142857144,0.4750498491565631
Gavin Newsom,gavin_newsom,8,-0.22294285714285716,0.5569718070760413
