Word,Count,Average Sentiment
elon_musk,195,0.0941
donald_trump,106,0.1825
like,52,0.2654
people,43,0.0978
one,35,0.1828
elon_musk_elon_musk,32,0.1413
bernie_sanders,31,0.208
think,30,0.2384
even,28,0.2394
would,28,0.209
time,27,0.2054
tesla,25,0.1853
going,24,0.1777
government,23,0.2152
waste,21,-0.5118
money,21,0.1372
need,20,0.1668
political,20,0.08
want,19,0.1888
see,18,0.0345
really,18,0.4309
good,18,0.5875
man,18,0.4606
donald_trump_donald_trump,18,0.0219
get,17,0.0874
much,17,-0.015
change,16,0.1756
full,16,-0.1521
got,16,0.1247
great,16,0.465
president,16,0.3349
make,15,-0.1284
shit,15,-0.2748
support,15,0.1602
year,14,-0.2472
military,14,-0.1464
spending,14,-0.142
years,14,-0.0554
take,14,0.4237
well,14,0.1769
every,14,-0.0222
hes,14,0.3601
please,14,-0.1162
joe_biden,14,0.2454
far,13,-0.0877
budget,13,-0.3591
ever,13,0.2062
say,13,0.3859
imagine,13,0.1296
never,13,0.195
