title,created_utc,score,num_comments,comments
"Ark Invest's Cathie Woods Defends Her Tesla To $4,000 Call",2019-04-29 20:55:31+00:00,21,3,"[{'author': 'Life-Saver', 'body': '""The longer the base, the bigger the break-out.  And we’re looking forward to that""\n\nNice!', 'score': 5}, {'author': 'longaadoc', 'body': 'Very nice. Thanks for posting this.', 'score': 4}, {'author': 'koen_NL', 'body': 'Learned about ETFs today, even learned that there is a thing called active ETFs . 👌🏻', 'score': 2}]"
"The ₿ Word with Cathie Wood, Jack Dorsey, & Elon Musk",2021-07-21 20:12:55+00:00,10,1,"[{'author': 'CleverLittleVegemite', 'body': 'Much love being sent from South Australia <3\n\nReally loved watching his brain tick over on the QR codes thing and then getting interrupted.\n\nHe needs a massage for his right shoulder and neck', 'score': 1}]"
