Word,TF-IDF Score
elon_musk,0.047907009773502436
jeff_bezos,0.02549159633535426
elon_musk elon_musk,0.020223169060655723
like,0.012747629242568843
donald_trump,0.01076656824266619
time,0.010636149216788245
people,0.010462039672909684
would,0.010204618249586673
get,0.009353939865919666
yes,0.008589348245508081
jeff_bezos jeff_bezos,0.007680234939653751
good,0.007476149106911752
guy,0.006891508118886366
yang,0.00685823699290433
think,0.00640979332104472
one,0.006398931560046839
mark,0.006252020341125014
mark_zuckerberg,0.006250786334105933
looks,0.006054232717076542
see,0.005963548723526596
jim_cramer,0.005895267072159802
know,0.00548637242384707
space,0.005216301722998106
video,0.0052007326413862414
lol,0.005148300514431842
hes,0.00511306360978822
hair,0.004959706090277716
way,0.004949962871704062
probably,0.004949405563045187
believe,0.0049289914649376905
love,0.004909063056299907
got,0.004704195696015733
sporange,0.004662004662004662
really,0.00461066397226047
better,0.004573351399401102
never,0.004473018877429565
much,0.004393756917670154
years,0.004373122598456055
force,0.00433952819587183
actually,0.004286733834822561
source,0.004251508439121508
presentation,0.004194459517324231
mentor,0.004172970506085557
wants,0.004095147679713059
need,0.004080415176898448
anyone,0.004069696429562974
thing,0.004008429282903378
work,0.003908450079240726
could,0.003881413694595594
says,0.003878229425497719
