Word,TF-IDF Score
elon_musk,0.03966247574739524
jeff_bezos,0.027343495521624225
elon_musk elon_musk,0.013415137372845802
like,0.009929968254402226
would,0.009802737135572205
people,0.008565501040132612
bernie_sanders,0.008136596199378524
space,0.006678583243997137
one,0.006408718394423094
jeff_bezos jeff_bezos,0.00628088433529883
rocket,0.00610599232148273
know,0.005803845974564362
president,0.005784563609779848
time,0.005695785648720891
make,0.005607325402389117
tesla,0.005511752694191434
love,0.0055035904761788065
fuck,0.005406239622486172
work,0.005101293992554482
think,0.0050712248843687675
say,0.005026113472746856
get,0.004992730275408871
see,0.004984512745393427
joe_biden,0.004975591387090586
surgery,0.004844352361531987
mars,0.004772659580940522
much,0.004730652383434407
back,0.0047177217545413775
even,0.004668103169039575
still,0.004521869488740818
really,0.004479418662456336
guy,0.004371089574121154
pete,0.004349832583572038
person,0.004347539888183241
rocket surgery,0.0043347981378649295
please,0.004283507177816682
bad,0.004277696008250128
donald_trump,0.00427219758170262
first,0.0042715765702326745
good,0.0042477987084783096
need,0.0041151378093998965
going,0.004104723325739175
man,0.0040557215184367215
tax,0.004041409978255648
yes,0.0039034714742224703
pete_buttigieg,0.003820144733709724
could,0.0038149760946762784
actually,0.003785808291676002
job,0.0037158521018737785
worth,0.003674941124223273
