Word,TF-IDF Score
elon_musk,0.032880964791360545
donald_trump,0.013117116280548595
twitter,0.012921194019003998
like,0.011498588805774099
elon_musk elon_musk,0.011185516889704658
people,0.010950090465175815
would,0.009002445801225977
joe_biden,0.009002422289574853
right,0.008883640514384124
jeff_bezos,0.00817582884264643
one,0.007612186645316993
get,0.00744205325567828
even,0.006973819434921765
fuck,0.006727611701924399
back,0.00620482032263455
think,0.005804536241422748
really,0.0057978902015156175
tesla,0.005711432290031892
see,0.005629037963321264
mark_zuckerberg,0.005541248271077041
going,0.005480996334186448
money,0.005363232140134877
guy,0.0051467959742693935
time,0.004987342750928316
love,0.0048314444808949105
want,0.00467143343557897
fight,0.0046410857696415255
left,0.004596558969504728
well,0.004557652870519474
make,0.0045355781924914
lol,0.004391643070215656
never,0.004326934721707754
man,0.0043231724573262
hes,0.0043054780262056095
interesting,0.004302685271016367
shit,0.004291760362531899
got,0.00426992915624938
life,0.00412917551775481
media,0.004120378500328535
actually,0.0040676779744710356
gonna,0.003977238988576887
thing,0.003966198488061415
free,0.003836161273687939
mark,0.00382366378003548
social,0.0037989832172199505
much,0.003664879182711595
real,0.0036498046763287317
freedom,0.0036462742251757896
vote,0.0036419743713459753
fair,0.003612249891896463
