date,beta,close,volume,open
2025-05-19,1.03,458.87,21340000.0,450.88
2025-05-16,1.03,454.27,23850000.0,452.05
2025-05-15,1.03,453.13,21990000.0,450.77
2025-05-14,1.03,452.94,19900000.0,448.14
2025-05-13,1.03,449.14,23620000.0,447.78
2025-05-12,1.03,449.26,22820000.0,445.94
2025-05-09,1.03,438.73,15320000.0,440.0
2025-05-08,1.03,438.17,23490000.0,437.93
2025-05-07,1.03,433.35,23310000.0,433.84
2025-05-06,1.03,433.31,15100000.0,432.2
2025-05-05,1.03,436.17,20140000.0,432.87
2025-05-02,1.03,435.28,30760000.0,431.74
2025-05-01,1.03,425.4,58940000.0,431.11
2025-04-30,1.03,395.26,36460000.0,390.3
2025-04-29,1.03,394.04,14970000.0,391.3
2025-04-28,1.03,391.16,16579999.999999998,391.95
2025-04-25,1.03,391.85,18970000.0,387.0
2025-04-24,1.03,387.3,22230000.0,375.7
2025-04-23,1.03,374.39,20550000.0,376.06
2025-04-22,1.03,366.82,19480000.0,363.38
2025-04-21,1.03,359.12,20810000.0,362.82
2025-04-17,1.03,367.78,21120000.0,373.74
2025-04-16,1.03,371.61,21970000.0,380.67
2025-04-15,1.03,385.73,17200000.0,388.51
2025-04-14,1.03,387.81,19250000.0,393.22
2025-04-11,1.03,388.45,23840000.0,380.64
2025-04-10,1.03,381.35,38020000.0,382.06
2025-04-09,1.03,390.49,50200000.0,353.54
2025-04-08,1.03,354.56,35870000.0,368.26
2025-04-07,1.03,357.86,50430000.0,350.88
2025-04-04,1.03,359.84,49210000.0,364.13
2025-04-03,1.03,373.11,30200000.0,374.79
2025-04-02,1.03,382.14,16090000.0,377.96
2025-04-01,1.03,382.19,19690000.0,374.65
2025-03-31,1.03,375.39,35180000.0,372.54
2025-03-28,1.03,378.8,21630000.0,388.08
2025-03-27,1.03,390.58,13770000.0,390.13
2025-03-26,1.03,389.97,16129999.999999998,395.0
2025-03-25,1.03,395.16,15770000.0,393.92
2025-03-24,1.03,393.08,21000000.0,395.4
2025-03-21,1.03,391.26,39680000.0,383.21
2025-03-20,1.03,386.84,18470000.0,385.73
2025-03-19,1.03,387.82,19190000.0,385.52
2025-03-18,1.03,383.52,19490000.0,387.07
2025-03-17,1.03,388.7,22470000.0,386.7
2025-03-14,1.03,388.56,19950000.0,379.77
2025-03-13,1.03,378.77,20470000.0,383.15
2025-03-12,1.03,383.27,24250000.0,382.95
2025-03-11,1.03,380.45,30380000.0,379.0
2025-03-10,1.03,380.16,32840000.000000004,385.84
2025-03-07,1.03,393.31,22030000.0,392.32
2025-03-06,1.03,396.89,23300000.0,394.28
2025-03-05,1.03,401.02,23430000.0,389.34
2025-03-04,1.03,388.61,29340000.0,383.4
2025-03-03,1.03,388.49,23010000.0,398.82
2025-02-28,1.03,396.99,32850000.0,392.65
2025-02-27,1.03,392.53,21130000.0,401.27
2025-02-26,1.03,399.73,19620000.0,398.01
2025-02-25,1.03,397.9,29390000.0,401.1
2025-02-24,1.03,404.0,26440000.0,408.51
2025-02-21,1.03,408.21,27520000.0,417.33
2025-02-20,1.03,416.13,23510000.0,415.29
2025-02-19,1.03,414.77,24110000.0,407.88
2025-02-18,1.03,409.64,21420000.0,408.0
2025-02-14,1.03,408.43,22760000.0,407.79
2025-02-13,1.03,410.54,23890000.0,407.0
2025-02-12,1.03,409.04,19120000.0,407.21
2025-02-11,1.03,411.44,18140000.0,409.64
2025-02-10,1.03,412.22,20820000.0,413.71
2025-02-07,1.03,409.75,22890000.0,416.48
2025-02-06,1.03,415.82,16309999.999999998,414.0
2025-02-05,1.03,413.29,16340000.0,412.35
2025-02-04,1.03,412.37,20530000.0,412.68
2025-02-03,1.03,410.92,25680000.0,411.6
2025-01-31,1.03,415.06,34220000.0,418.98
2025-01-30,1.03,414.99,54590000.0,418.77
2025-01-29,1.03,442.33,23580000.0,446.69
2025-01-28,1.03,447.2,23490000.0,434.6
2025-01-27,1.03,434.56,35650000.0,424.01
2025-01-24,1.03,444.06,15550000.0,445.16
2025-01-23,1.03,446.71,18390000.0,442.0
2025-01-22,1.03,446.2,27800000.0,437.56
2025-01-21,1.03,428.5,26090000.0,430.2
2025-01-17,1.03,429.03,26200000.0,434.08
2025-01-16,1.03,424.58,15300000.0,428.7
2025-01-15,1.03,426.31,19640000.0,419.13
2025-01-14,1.03,415.67,16940000.0,417.81
2025-01-13,1.03,417.19,17600000.0,415.23
2025-01-10,1.03,418.95,20200000.0,424.63
2025-01-08,1.03,424.56,15050000.0,423.46
2025-01-07,1.03,422.37,18140000.0,429.0
2025-01-06,1.03,427.85,20570000.0,428.0
2025-01-03,1.03,423.35,16660000.0,421.08
2025-01-02,1.03,418.58,16900000.0,425.53
2024-12-31,1.03,421.5,13250000.0,426.1
2024-12-30,1.03,424.83,13160000.0,426.06
2024-12-27,1.03,430.53,18120000.0,434.6
2024-12-26,1.03,438.11,8199999.999999999,439.08
