"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2025","208.78","207.91","209.48","204.26","46.14M","-1.17%"
"05/16/2025","211.26","212.36","212.57","209.77","54.74M","-0.09%"
"05/15/2025","211.45","210.95","212.96","209.54","45.03M","-0.41%"
"05/14/2025","212.33","212.43","213.94","210.58","49.33M","-0.28%"
"05/13/2025","212.93","210.43","213.40","209.00","51.91M","1.02%"
"05/12/2025","210.79","210.97","211.27","206.75","63.78M","6.18%"
"05/09/2025","198.53","199.00","200.54","197.54","36.45M","0.53%"
"05/08/2025","197.49","197.72","200.05","194.68","50.48M","0.63%"
"05/07/2025","196.25","199.17","199.44","193.25","68.62M","-1.14%"
"05/06/2025","198.51","198.21","200.65","197.02","51.22M","-0.19%"
"05/05/2025","198.89","203.10","204.10","198.21","69.02M","-3.15%"
"05/02/2025","205.35","206.09","206.99","202.16","101.01M","-3.74%"
"05/01/2025","213.32","209.08","214.56","208.90","57.37M","0.39%"
"04/30/2025","212.50","209.30","213.58","206.67","52.29M","0.61%"
"04/29/2025","211.21","208.69","212.24","208.37","36.83M","0.51%"
"04/28/2025","210.14","210.00","211.50","207.46","38.74M","0.41%"
"04/25/2025","209.28","206.37","209.75","206.20","38.22M","0.44%"
"04/24/2025","208.37","204.89","208.83","202.94","47.31M","1.84%"
"04/23/2025","204.60","206.00","208.00","202.80","52.93M","2.43%"
"04/22/2025","199.74","196.12","201.59","195.97","52.98M","3.41%"
"04/21/2025","193.16","193.26","193.80","189.81","46.74M","-1.94%"
"04/17/2025","196.98","197.20","198.83","194.42","52.16M","1.39%"
"04/16/2025","194.27","198.36","200.70","192.37","59.73M","-3.89%"
"04/15/2025","202.14","201.85","203.51","199.80","51.34M","-0.19%"
"04/14/2025","202.52","211.44","212.94","201.16","101.35M","2.21%"
"04/11/2025","198.15","186.10","199.54","186.06","87.44M","4.06%"
"04/10/2025","190.42","189.07","194.78","183.00","121.88M","-4.24%"
"04/09/2025","198.85","171.95","200.61","171.89","184.40M","15.33%"
"04/08/2025","172.42","186.70","190.34","169.21","120.86M","-4.98%"
"04/07/2025","181.46","177.20","194.15","174.62","160.47M","-3.67%"
"04/04/2025","188.38","193.89","199.88","187.34","125.91M","-7.29%"
"04/03/2025","203.19","205.54","207.49","201.25","103.42M","-9.25%"
"04/02/2025","223.89","221.32","225.19","221.02","35.91M","0.31%"
"04/01/2025","223.19","219.80","223.68","218.90","36.41M","0.48%"
"03/31/2025","222.13","217.01","225.62","216.23","65.30M","1.94%"
"03/28/2025","217.90","221.67","223.81","217.68","39.82M","-2.66%"
"03/27/2025","223.85","221.39","224.99","220.56","37.09M","1.05%"
"03/26/2025","221.53","223.51","225.02","220.47","34.53M","-0.99%"
"03/25/2025","223.75","220.77","224.10","220.08","34.49M","1.37%"
"03/24/2025","220.73","221.00","221.48","218.58","44.30M","1.13%"
"03/21/2025","218.27","211.56","218.84","211.28","94.13M","1.95%"
"03/20/2025","214.10","213.99","217.49","212.22","48.86M","-0.53%"
"03/19/2025","215.24","214.22","218.76","213.75","54.39M","1.20%"
"03/18/2025","212.69","214.16","215.15","211.49","42.43M","-0.61%"
"03/17/2025","214.00","213.31","215.22","209.97","48.07M","0.24%"
"03/14/2025","213.49","211.25","213.95","209.58","60.11M","1.82%"
"03/13/2025","209.68","215.95","216.84","208.42","61.37M","-3.36%"
"03/12/2025","216.98","220.14","221.75","214.91","62.55M","-1.75%"
"03/11/2025","220.84","223.80","225.84","217.45","76.14M","-2.92%"
"03/10/2025","227.48","235.54","236.16","224.22","72.07M","-4.85%"
